trip_id,start_time,end_time,has_shape,color
A20161106SAT_052000_GS.N01R,31200,31290,True,6D6E71
A20161106SAT_052400_GS.S01R,31440,31530,True,6D6E71
A20161106SAT_053000_GS.N01R,31800,31890,True,6D6E71
A20161106SAT_053400_GS.S01R,32040,32130,True,6D6E71
A20161106SAT_054000_GS.N01R,32400,32490,True,6D6E71
A20161106SAT_054400_GS.S01R,32640,32730,True,6D6E71
A20161106SAT_055000_GS.N01R,33000,33090,True,6D6E71
A20161106SAT_055400_GS.S01R,33240,33330,True,6D6E71
A20161106SAT_056000_GS.N01R,33600,33690,True,6D6E71
A20161106SAT_056400_GS.S01R,33840,33930,True,6D6E71
A20161106SAT_057000_GS.N01R,34200,34290,True,6D6E71
A20161106SAT_057400_GS.S01R,34440,34530,True,6D6E71
A20161106SAT_058000_GS.N01R,34800,34890,True,6D6E71
A20161106SAT_058400_GS.S01R,35040,35130,True,6D6E71
A20161106SAT_059000_GS.N01R,35400,35490,True,6D6E71
A20161106SAT_059400_GS.S01R,35640,35730,True,6D6E71
A20161106SAT_060000_GS.N01R,36000,36090,True,6D6E71
A20161106SAT_060400_GS.S01R,36240,36330,True,6D6E71
A20161106SAT_061000_GS.N01R,36600,36690,True,6D6E71
A20161106SAT_061400_GS.S01R,36840,36930,True,6D6E71
A20161106SAT_062000_GS.N01R,37200,37290,True,6D6E71
A20161106SAT_062400_GS.S01R,37440,37530,True,6D6E71
A20161106SAT_063000_GS.N01R,37800,37890,True,6D6E71
A20161106SAT_063400_GS.S01R,38040,38130,True,6D6E71
A20161106SAT_064000_GS.N01R,38400,38490,True,6D6E71
A20161106SAT_064400_GS.S01R,38640,38730,True,6D6E71
A20161106SAT_065000_GS.N01R,39000,39090,True,6D6E71
A20161106SAT_065400_GS.S01R,39240,39330,True,6D6E71
A20161106SAT_066000_GS.N01R,39600,39690,True,6D6E71
A20161106SAT_066400_GS.S01R,39840,39930,True,6D6E71
A20161106SAT_067000_GS.N01R,40200,40290,True,6D6E71
A20161106SAT_067400_GS.S01R,40440,40530,True,6D6E71
A20161106SAT_068000_GS.N01R,40800,40890,True,6D6E71
A20161106SAT_068400_GS.S01R,41040,41130,True,6D6E71
A20161106SAT_069000_GS.N01R,41400,41490,True,6D6E71
A20161106SAT_069400_GS.S01R,41640,41730,True,6D6E71
A20161106SAT_070000_GS.N01R,42000,42090,True,6D6E71
A20161106SAT_070400_GS.S01R,42240,42330,True,6D6E71
A20161106SAT_071000_GS.N01R,42600,42690,True,6D6E71
A20161106SAT_071400_GS.S01R,42840,42930,True,6D6E71
A20161106SAT_072000_GS.N01R,43200,43290,True,6D6E71
A20161106SAT_072400_GS.S01R,43440,43530,True,6D6E71
A20161106SAT_073000_GS.N01R,43800,43890,True,6D6E71
A20161106SAT_073400_GS.S01R,44040,44130,True,6D6E71
A20161106SAT_074000_GS.N01R,44400,44490,True,6D6E71
A20161106SAT_074400_GS.S01R,44640,44730,True,6D6E71
A20161106SAT_075000_GS.N01R,45000,45090,True,6D6E71
A20161106SAT_075400_GS.S01R,45240,45330,True,6D6E71
A20161106SAT_076000_GS.N01R,45600,45690,True,6D6E71
A20161106SAT_076400_GS.S01R,45840,45930,True,6D6E71
A20161106SAT_077000_GS.N01R,46200,46290,True,6D6E71
A20161106SAT_077400_GS.S01R,46440,46530,True,6D6E71
A20161106SAT_078000_GS.N01R,46800,46890,True,6D6E71
A20161106SAT_078400_GS.S01R,47040,47130,True,6D6E71
A20161106SAT_079000_GS.N01R,47400,47490,True,6D6E71
